file,AVG_LOG_LEN,CODE_CHURN,FCOC,LEVELD,LOC,LOGADD,LOGD,LOGDEL,LOG_CODE_OWNERSHIP,LOG_SPREAD,NUM_LOGS,TPC,post_defect_count,post_defects,pre_defect_count,pre_defects
src/java/org/apache/hadoop/dfs/FSDataset.java,25.555555555555557,248,0.16666666666666666,3.5555555555555554,901,0.0,0.009988901220865706,0.5,0.5,0.3,9,6,1,['HADOOP-2883'],6,"['HADOOP-1707', 'HADOOP-1989', 'HADOOP-2012', 'HADOOP-2549', 'HADOOP-2645', 'HADOOP-2691']"
src/java/org/apache/hadoop/dfs/FSDatasetInterface.java,0,288,0.0,0,214,0.0,0.0,0.0,0.0,0.0,0,5,0,[],5,"['HADOOP-1707', 'HADOOP-1989', 'HADOOP-2434', 'HADOOP-2488', 'HADOOP-2645']"
src/java/org/apache/hadoop/dfs/FSDirectory.java,0,130,0.0,0,703,0.0,0.0,0.0,0.0,0.0,0,4,2,"['HADOOP-3108', 'HADOOP-3186']",3,"['HADOOP-1298', 'HADOOP-2432', 'HADOOP-2447']"
src/java/org/apache/hadoop/dfs/FSEditLog.java,29,130,0.16666666666666666,4.6,955,0.5,0.005235602094240838,0.3333333333333333,0.6666666666666666,0.5,5,6,0,[],6,"['HADOOP-1188', 'HADOOP-1298', 'HADOOP-2349', 'HADOOP-2460', 'HADOOP-2543', 'HADOOP-2645']"
src/java/org/apache/hadoop/dfs/FSImage.java,21.333333333333332,44,0.0,3.111111111111111,1121,0.0,0.016057091882247992,0.0,0.0,0.2857142857142857,18,3,0,[],3,"['HADOOP-1188', 'HADOOP-1298', 'HADOOP-2543']"
src/java/org/apache/hadoop/dfs/FSNamesystem.java,29.357142857142858,15810,0.04,3.46875,4123,2.16,0.007761338830948338,2.4,0.8,0.23076923076923078,32,25,5,"['HADOOP-2716', 'HADOOP-2918', 'HADOOP-3084', 'HADOOP-3138', 'HADOOP-3186']",23,"['HADOOP-1195', 'HADOOP-1298', 'HADOOP-1707', 'HADOOP-1742', 'HADOOP-2078', 'HADOOP-2110', 'HADOOP-2149', 'HADOOP-2185', 'HADOOP-2256', 'HADOOP-2275', 'HADOOP-2398', 'HADOOP-2401', 'HADOOP-2404', 'HADOOP-2431', 'HADOOP-2447', 'HADOOP-2540', 'HADOOP-2543', 'HADOOP-2576', 'HADOOP-2633', 'HADOOP-2645', 'HADOOP-2649', 'HADOOP-2659', 'HADOOP-2755']"
src/java/org/apache/hadoop/dfs/FileDataServlet.java,0,30,0.0,0,112,0.0,0.0,0.0,0.0,0,0,1,1,['HADOOP-3084'],1,['HADOOP-2652']
src/java/org/apache/hadoop/dfs/FsckServlet.java,0,0,0,4,57,0,0.017543859649122806,0,0,0,1,0,0,[],0,[]
src/java/org/apache/hadoop/dfs/GetImageServlet.java,0,0,0,4,72,0,0.013888888888888888,0,0,0,1,0,1,['HADOOP-3069'],0,[]
src/java/org/apache/hadoop/dfs/HftpFileSystem.java,0,53,0.0,0,267,0.0,0.0,0.0,0.0,0.0,0,7,1,['HADOOP-3139'],7,"['HADOOP-2185', 'HADOOP-2288', 'HADOOP-2336', 'HADOOP-2404', 'HADOOP-2432', 'HADOOP-2566', 'HADOOP-2652']"
src/java/org/apache/hadoop/dfs/Host2NodesMap.java,0,0,0,0,188,0,0.0,0,0,0.0,0,0,0,[],0,[]
src/java/org/apache/hadoop/dfs/INode.java,0,164,0.0,0,762,0.0,0.0,0.0,0.0,0.0,0,1,0,[],1,['HADOOP-1298']
src/java/org/apache/hadoop/dfs/InconsistentFSStateException.java,0,0,0,0,46,0,0.0,0,0,0,0,0,0,[],0,[]
src/java/org/apache/hadoop/dfs/IncorrectVersionException.java,0,0,0,0,41,0,0.0,0,0,0,0,0,0,[],0,[]
src/java/org/apache/hadoop/dfs/JspHelper.java,0,42,0.0,0,357,0.0,0.0,0.0,0.0,0.0,0,5,1,['HADOOP-3084'],5,"['HADOOP-2185', 'HADOOP-2447', 'HADOOP-2614', 'HADOOP-2645', 'HADOOP-2652']"
src/java/org/apache/hadoop/dfs/LeaseExpiredException.java,0,0,0,0,30,0,0.0,0,0,0,0,0,0,[],0,[]
src/java/org/apache/hadoop/dfs/ListPathsServlet.java,0,53,0.0,0,171,0.0,0.0,0.0,0.0,0,0,2,0,[],2,"['HADOOP-2336', 'HADOOP-2652']"
